subzone_name,subzone_code,area_km2,population_total,population_male,population_female,population_elderly_65plus,population_density,hawker_centres,parks,supermarkets,gyms,community_clubs,amenity_count,amenity_density,mrt_exits,mrt_station_count,cycling_path_km,park_connector_km,nparks_track_km,sport_facilities,green_space_area_km2,green_space_pct,abc_waters_area_km2,building_count,hdb_count,mean_height_m,max_height_m,avg_hdb_year,total_dwelling_units,dwelling_density,resale_median_price,resale_transaction_count,lst_mean_c,ndvi_mean,ndbi_mean,ghsl_height_mean,dsm_mean,dem_mean,canopy_cover_pct,canopy_loss_pct,gvi_mean,intersection_density,transit_access_score,destination_accessibility,walkability_index,transit_access_slope,dest_access_slope,walkability_slope
GHIM MOH,QTSZ01,0.489,13850,6470,7380,3190,28332,1,0,3,0,1,5,10.2,0,0,0.0,0.95,2.27,0,0.0275,5.6,0.0,67,38,35.8,120.0,1997,5265,10770,809000,434,40.07,0.3587,-0.0232,23.37,20.1,22.85,13.63,6.07,,374.4,1.223,2.2955,2.4814,0.9498,1.6175,2.6151
HOLLAND DRIVE,QTSZ02,0.474,12680,5760,6920,3490,26760,2,1,3,1,1,8,16.9,2,1,0.0,0.0,0.4,0,0.0028,0.6,0.0,112,39,25.9,120.0,1987,5505,11618,525000,300,37.96,0.3357,-0.0069,25.11,25.88,30.85,3.88,0.08,,713.3,2.275,2.6716,6.6873,1.6645,1.6756,6.1937
COMMONWEALTH,QTSZ03,0.313,7000,3230,3770,1820,22391,1,0,0,0,0,1,3.2,2,1,0.17,0.0,0.0,0,0.0,0.0,0.0,49,37,23.2,48.0,1967,3380,10812,330000,197,40.85,0.4369,-0.0384,21.05,21.27,24.04,5.18,0.29,,639.7,1.1672,1.6985,2.3735,0.9125,1.2193,2.4924
TANGLIN HALT,QTSZ04,0.561,10590,4960,5630,2640,18876,2,0,1,0,0,3,5.3,2,1,0.37,0.0,2.16,0,0.0417,7.4,0.0,72,31,26.1,141.0,1986,3372,6010,854444,154,37.03,0.4799,-0.0602,20.43,19.33,18.82,6.48,3.54,,429.6,2.5057,2.2822,4.1354,1.8803,1.6956,4.4197
MARGARET DRIVE,QTSZ05,1.033,16090,7710,8380,2480,15569,1,0,2,0,0,3,2.9,2,1,0.68,1.54,1.54,0,0.0,0.0,0.0378,174,77,43.3,144.0,2012,8755,8471,945000,413,38.92,0.4487,-0.0491,22.4,14.1,18.72,10.9,0.44,,544.8,1.1921,1.5054,0.9425,0.8722,1.0221,0.7465
MEI CHIN,QTSZ06,0.754,15570,7350,8210,3270,20657,1,0,3,0,1,5,6.6,2,1,0.0,0.95,0.98,1,0.0,0.0,0.0,201,59,20.2,120.0,1976,5018,6658,415000,249,40.12,0.3403,0.012,22.36,21.65,22.33,3.77,0,,380.8,1.5843,1.5617,1.259,1.206,1.136,1.3498
QUEENSWAY,QTSZ07,0.633,270,130,140,50,426,0,0,0,0,0,0,0.0,0,0,0.0,0.58,1.97,0,0.0243,3.8,0.0,76,0,11.2,70.8,,0,0,,0,38.44,0.4983,-0.0997,5.2,21.46,23.36,38.01,15.91,,222.7,0.6705,1.0728,-3.8742,0.5005,0.7851,-3.919
ONE NORTH,QTSZ08,2.017,720,350,370,30,357,0,1,3,2,0,6,3.0,8,2,3.52,0.0,5.52,0,0.0902,4.5,0.0,264,0,15.0,120.0,,0,0,,0,36.81,0.448,-0.0419,22.12,25.45,26.93,17.2,6.51,,498.8,1.959,1.8567,1.1841,1.4469,1.3765,1.3047
SINGAPORE POLYTECHNIC,QTSZ09,0.954,100,0,0,0,105,0,0,0,0,0,0,0.0,2,1,0.14,1.72,1.74,0,0.0,0.0,0.0003,172,0,12.9,135.0,,0,0,,0,38.88,0.4572,-0.0699,12.62,25.86,26.87,32.44,14.23,,428.8,1.9315,0.9394,-0.7589,1.5065,0.7398,-0.5514
DOVER,QTSZ10,1.39,11080,5260,5820,2100,7973,0,0,1,0,1,2,1.4,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,228,27,15.8,120.0,1990,3095,2227,735000,183,38.05,0.4534,-0.0335,17.26,24.13,24.47,12.54,0.75,,312.3,1.028,0.8954,-2.3368,0.7966,0.7038,-2.2294
NATIONAL UNIVERSITY OF S'PORE,QTSZ11,1.765,240,70,170,0,136,0,0,1,0,0,1,0.6,3,1,0.0,0.0,0.07,0,0.0,0.0,0.0,393,0,14.6,112.4,,0,0,,0,38.09,0.4482,-0.0413,17.06,35.15,34.16,14.5,2.28,,597.6,0.7321,0.6225,-2.4027,0.5076,0.447,-2.6506
KENT RIDGE,QTSZ12,1.839,80,0,0,0,43,0,3,0,0,0,3,1.6,1,1,0.0,0.0,37.98,0,0.7162,38.9,0.0,217,0,12.3,72.0,,0,0,,0,37.53,0.6055,-0.1493,8.67,38.45,41.02,41.85,1.03,,206.6,0.7878,1.0333,-3.8596,0.6301,0.783,-3.748
PASIR PANJANG 1,QTSZ13,1.092,4510,2200,2300,610,4130,0,0,0,0,0,0,0.0,1,1,0.0,0.0,0.28,0,0.0034,0.3,0.0,619,0,10.3,36,,0,0,,0,39.03,0.449,-0.0626,15.79,21.58,20.49,14.69,1.32,,506.4,1.1637,0.8601,-1.4155,0.8292,0.6502,-1.5444
PASIR PANJANG 2,QTSZ14,0.859,3060,1490,1570,590,3562,0,2,2,1,0,5,5.8,0,0,0.0,0.0,0.63,0,0.0085,1.0,0.0,692,0,10.1,183.0,,0,0,,0,41.17,0.2812,0.0385,21.99,20.47,20.5,4.04,0,,577.4,1.4029,1.5322,0.4317,1.0051,1.0802,0.2792
PORT,QTSZ15,7.657,120,60,60,20,16,1,2,0,0,0,3,0.4,1,1,0.0,6.13,19.75,0,0.5634,7.4,0.0092,225,0,10.2,60.0,,0,0,,0,42.69,0.1136,0.0727,5.11,6.26,4.42,2.23,0.18,,69.9,0.8149,0.8712,-4.8474,0.6253,0.6921,-4.7583
